Idiom,Sense,Idiomatic_Sent,Literal_Sent,Idiomatic_Label,Literal_Label
run out of steam,"to no longer have the energy or the desire to continue doing something, especially because you are tired",the project ran out of steam quite early on and then for it to take of was obviously quite difficult .,the project stalled quite early on and then for it to take of was obviously quite difficult .,O O B I O I O O O O O O O O O O O O O O O,O O B O O O O O O O O O O O O O O O
run out of steam,"to no longer have the energy or the desire to continue doing something, especially because you are tired",the problem with this couple was that they ran out of steam within the first few years of their marriage and now are dragging on .,the problem with this couple was that they lost the effect they once had within the first few years of their marriage and now are dragging on .,O O O O O O O O B I O I O O O O O O O O O O O O O O,O O O O O O O O B O I O I I O O O O O O O O O O O O O O
run out of steam,"to no longer have the energy or the desire to continue doing something, especially because you are tired",the lawyer ran out of steam in his argument in the first phase of the case and so it was not a surprise that he lost .,the lawyer stagnated in his argument in the first phase of the case and so it was not a surprise that he lost .,O O B I O I O O O O O O O O O O O O O O O O O O O O O,O O B O O O O O O O O O O O O O O O O O O O O O
run out of steam,"to no longer have the energy or the desire to continue doing something, especially because you are tired",the politician run out of steam to take any action as soon as the elections get over and i have seen it happen over and over again .,the politician slowly fails to take any action as soon as the elections get over and i have seen it happen over and over again .,O O B I I I O O O O O O O O O O O O O O O O O O O O O O,O O B I O O O O O O O O O O O O O O O O O O O O O O
run out of steam,"to no longer have the energy or the desire to continue doing something, especially because you are tired",the volunteers start strong but usually run out of steam pretty quickly afterwards .,the volunteers start strong but usually stagnate pretty quickly afterwards .,O O O O O O B I I I O O O O,O O O O O O B O O O O
pin money,A small sum paid for a small service.,the maid service in this area are no longer available at pin money .,the maid service in this area are no longer available at small amounts of money .,O O O O O O O O O O O B O O,O O O O O O O O O O O B I I O O
pin money,A small sum paid for a small service.,my niece will babysit for you for pin money .,my niece will babysit for you for a little bit of money .,O O O O O O O B O O,O O O O O O O B I I I O O
pin money,A small sum paid for a small service.,you can ' t buy such a thing with pin money .,you can ' t buy such a thing with such little money .,O O O O O O O O O B O O,O O O O O O O O O O B O O
pin money,A small sum paid for a small service.,the earning from this job is pin money but at least you get a good looking resume when you ' ve survived here for a year .,the earning from this job is not great but at least you get a good looking resume when you ' ve survived here for a year .,O O O O O O B I O O O O O O O O O O O O O O O O O O O,O O O O O O B I O O O O O O O O O O O O O O O O O O O
sit on the fence,delay or avoid making a decision or choice,has he decided which offer he is going to accept or is he still sitting on the fence ?,has he decided which offer he is going to accept or is he still deciding ?,O O O O O O O O O O O O O O B I I I O,O O O O O O O O O O O O O O B O
